2003年に市販車として初めて「衝突被害軽減ブレーキ」を搭載した国産車は、次のうちどれですか？,トヨタ ハリアー,スバル レガシィ,日産 シーマ,ホンダ ステップワゴン
次のマツダ車のうち、オープンモデルが発売されたことがないモデルはどれですか？,RX-8,ファミリア,RX-7,ロードスター
近年のリーマンショックなど、経済危機の影響により国有化を余儀なくされた自動車メーカーがあります。次のうち、国有化されたことのないメーカーはどこですか？,BMW,GM,アルファロメオ,クライスラー
カスタムカーや福祉車両、商用特装車等を制作している日産グループの会社はどこですか？,オーテックジャパン,日産クリエイティブサービス,エスアンドエスエンジニアリング,日産フィナンシャルサービス
次のレクサスのモデル名のうち、存在しないものはどれですか？,ZS,HS,GS,LS
次のうち、オープンカーのモデルを表現する名称ではないものはどれですか？,アルティマ,スパイダー,コンバーチブル,カブリオレ
次のうち、「日本カー・オブ・ザ・イヤー」(COTY)を受賞したことのある車はどれですか？,フォルクスワーゲン ゴルフ,日産 セレナ,ホンダ ヴェゼル,トヨタ FJクルーザー
1997年、トヨタが発売した”プレミアムクロスオーバーSUV”の先駆的存在となった車は、次のうちどれですか？,ハリアー,ヴァンガード,RAV4,クルーガー
初代「スズキ ワゴンR」には、大型サンルーフなどを備えた他社とのコラボレーションモデルが設定されました。そのブランドは何ですか？,ロフト,パルコ,無印良品,ミキハウス
「ホンダ N-ONE ローダウン」は、サスペンションの他に、”ある部分”を変更し、立体駐車場に入庫可能とされる”全高1545mm”を実現しました。その部分はどこですか？,ルーフ,サイドウインドウ,ダッシュボード,バックドア
