2014年、トヨタが世界に先駆けて燃料電池車(FCV)の「MIRAI」を発売しましたが、この車が使用する燃料は何ですか？,水素,ガソリン,軽油,窒素
2015年にフルモデルチェンジされた「ホンダ ステップワゴン」には、上下だけでなく、横方向にも開く、ユニークなテールゲートが採用されました。そのゲートの名称は何ですか？,わくわくゲート,どきどきゲート,びっくりゲート,ゆにーくゲート
2014年9月より、”遊べる軽”と呼ばれる「スズキ ハスラー」のCMに登場して話題となった往年のアニメは何ですか？,Dr.スランプ アラレちゃん,アルプスの少女ハイジ,天才バカボン,フランダースの犬
三菱が1982年に発売し、「クロスカントリー4WD(クロカン4WD)ブーム」を巻き起こすきっかけとされる車は次のうちどれですか？,パジェロ,ジープ,RVR,アウトランダー
2012年にトヨタが発売した「86」は、他の自動車メーカーと共同開発した車です。では、共同開発したメーカーはどこですか？,スバル,スズキ,マツダ,BMW
カーナビ等で自車位置を測定するために使われる、”全地球測位システム”と呼ばれる衛星システムの名称は次のうちどれですか？,GPS,EPS,SRS,GTS
自動車のナンバープレートに”希望する番号”をつけることができる制度を何と言いますか？,希望ナンバー制度,ドラフト制度,マイナンバー制度,フリーチョイス制度
2011年12月に第1弾を発売したホンダの軽自動車「N」シリーズにこれまで存在しない車名は、次のうちどれですか？,N-660,N-BOX,N-WGN,N-ONE
運転席や助手席のバイザー(日よけ)の裏側にある鏡のことを「バニティミラー」と呼びますが、”バニティ”とはどのような意味ですか？,化粧,太陽,同乗者,天井
車の「クリープ現象」の説明について、適切な記述はどれですか？,AT車において、アクセルペダルを踏まなくても車両が動く現象。,車内にキーを残したまま、ドアロックする現象。,タイヤと路面の間に水の膜ができることで、グリップ力を失う現象。,ドラッグレースでタイヤを温めるために前輪をロックし後輪を回して白煙を上げる現象。
