ホンダが”ある車”に取り付けた、縦にも横にも開けることができる「わくわくゲート」と呼ばれる後ろのドアです。さて、このドアを付けた車はどれですか。,ステップワゴン,フィット,レジェンド,CR-Z
自動車には、いろいろな種類のエンジンがありますが「ディーゼルエンジン」の車に使われる燃料は、次のうちどれですか。,軽油,レギュラーエンジン,水素燃料,電気
周りの運転者に危険があることを、知らせるために使用する「非常点滅表示灯」は、何と呼ばれるランプですか。,ハザードランプ,ストップランプ,ケアランプ,デンジャラスランプ
「マツダ」の本社がある都道府県には、”MAZDA Zoom-Zoomスタジアム”という野球場があります。それはどこにありますか。,広島県,東京都,大阪府,福岡県
次のうち、「自動車メーカーとその国」の組み合わせで、間違っているものはどれですか。,フィアット - スウェーデン,メルセデス・ベンツ - ドイツ,フェラーリ - イタリア,クライスラー - アメリカ
自動車を運転するときは、”急な発進や停止をなるべく少なくすると良い”と言われています。その理由として、間違っているものはどれですか。,高速道路の通行料割引が受けられるから,環境にやさしいから。,雪道で滑りにくくなるから。,乗り心地が良くなるから。
2015年10月現在、日本には国際自動車連盟(FIA)および日本自動車連盟(JAF)公認の国際サーキット場が7か所あります。その中で最も長いコース”鈴鹿サーキット”があるのはどこですか。,三重県,北海道,大分県,岡山県
車の名前の付け方にはいろいろな由来がありますが、次のスポーツ競技のうち、本当に販売されている車の名前となったスポーツはどれですか。,ポロ,バスケットボール,テニス,サッカー
自動車のナンバープレートは、数字の前にひらがなが表示されています。このひらがなが「わ」や「れ」(北海道、沖縄のみ)と表示される自動車は次のうちどれですか。,レンタカー,タンクローリー,観光バス,緊急車両
高速道路の料金所で止まることなく、ゆっくり走りながら料金を自動で支払うことができるシステムは、次のうちどれですか。,ETC,ITS,JAF,ABS
